epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2963,0.95599,1.35355,1.48035,0.74323,0.72727,0.80508,0.51229,1.21132,2.46416,2.0467,6.668e-05,6.668e-05,6.668e-05
2,84.6336,0.84194,1.26783,1.3862,0.99546,0.81818,0.87138,0.66001,1.08968,2.36317,1.93517,0.000147555,0.000147555,0.000147555
3,126.505,0.83108,1.3075,1.395,0.69257,0.6161,0.74615,0.57288,1.14987,2.56331,2.03626,0.000225678,0.000225678,0.000225678
4,169.627,0.79962,1.26875,1.40816,0.8533,0.72727,0.87856,0.44934,1.32997,2.41548,2.46798,0.000301052,0.000301052,0.000301052
5,210.353,0.82732,1.10757,1.3646,0.63018,0.77624,0.77048,0.51947,1.23109,2.49513,2.2455,0.000373675,0.000373675,0.000373675
6,248.89,0.75618,1.13216,1.30613,0.6606,0.90909,0.78276,0.45988,1.40893,2.44344,2.45684,0.000443547,0.000443547,0.000443547
7,288.925,0.81152,1.15134,1.3605,0.8477,0.81818,0.88204,0.45313,1.5394,2.24338,2.64815,0.000510669,0.000510669,0.000510669
8,329.603,0.87041,1.1174,1.35668,0.88068,0.72727,0.88367,0.52378,1.37399,2.23593,2.42613,0.00057504,0.00057504,0.00057504
9,380.655,0.95788,1.18821,1.50858,0.81454,0.79997,0.86207,0.50192,1.33082,2.26665,2.49348,0.000636661,0.000636661,0.000636661
10,434.768,0.94549,1.16983,1.4647,0.78519,0.72727,0.81263,0.38947,1.55067,2.55416,2.47482,0.000695531,0.000695531,0.000695531
11,485.336,0.92365,1.1554,1.4139,0.70223,0.85921,0.84829,0.5037,1.33212,2.40389,2.18034,0.00075165,0.00075165,0.00075165
12,527.872,1.00504,1.22834,1.55241,0.81814,0.81818,0.84242,0.4842,1.44472,2.4834,2.26001,0.000805019,0.000805019,0.000805019
